event_id,url,title,article_text,published,effective_at,expires_at,event_type,matched_phrases,performance_delta,availability_delta,uncertainty_delta,confidence
50d771c80b4e5e2e2967,https://www.vlr.gg/707842/bilibili-gaming-picks-up-former-ge-xlg-analyst-balax,"BiliBili Gaming picks up former GE, XLG analyst balax","BiliBili Gaming picks up former GE, XLG analyst balax BiliBili adds a new face to its coaching corps ahead of a pivotal Stage 2.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-09-13T00:00:00,roster_join,adds,0.0,0.0,0.08,0.85
b054d2bd4685fb7b7f85,https://www.vlr.gg/707845/tyloo-sheaths-sword9-welcomes-him-back-to-the-coaching-booth,"TYLOO sheaths sword9, welcomes him back to the coaching booth","TYLOO sheaths sword9, welcomes him back to the coaching booth The IGL headset is handed over, with TYLOO's former head coach set to return to coaching.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-07-28T00:00:00,return,back,0.02,0.25,-0.1,0.8
df5883ecca67163b2306,https://www.vlr.gg/707876/smoggy-to-miss-ewc-coach-signed-to-step-in,"Smoggy to miss EWC, coach signed to step in","Smoggy to miss EWC, coach signed to step in signed is set to replace Smoggy in EDG's lineup for the Esports World Cup.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-08-04T00:00:00,unavailable,miss,0.0,-0.35,0.18,0.9
c5ab93dec05b5f06d57e,https://www.vlr.gg/707882/bilibili-brings-anaks-back-to-china-promotes-ft-from-xlb,"BiliBili brings Anaks back to China, promotes FT from XLB","BiliBili brings Anaks back to China, promotes FT from XLB The former JDG and DRX coach is back in VCT, set to lead BiliBili in a pivotal Stage 2.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-07-28T00:00:00,return,back,0.02,0.25,-0.1,0.8
88359656c2d71549b4c4,https://www.vlr.gg/707882/bilibili-brings-anaks-back-to-china-promotes-ft-from-xlb,"BiliBili brings Anaks back to China, promotes FT from XLB","BiliBili brings Anaks back to China, promotes FT from XLB The former JDG and DRX coach is back in VCT, set to lead BiliBili in a pivotal Stage 2.",2026-06-30T00:00:00,2026-06-30T00:00:00,2026-09-13T00:00:00,roster_join,promotes,0.0,0.0,0.08,0.85
8e9cc3ddc8d4b9656973,https://www.vlr.gg/707510/obone-retires-and-heybay-departs-nova-esports,OBONE retires and heybay departs Nova Esports,OBONE retires and heybay departs Nova Esports Nova's roster is trimmed down ahead of Stage 2.,2026-06-29T00:00:00,2026-06-29T00:00:00,2026-12-26T00:00:00,roster_exit,departs;retires,0.0,-0.85,0.28,0.95
a8e8f882ebe34caf70c6,https://www.vlr.gg/707183/titan-esports-club-adds-muggle-and-ra1ny-ahead-of-stage-2,Titan Esports Club adds Muggle and ra1ny ahead of Stage 2,Titan Esports Club adds Muggle and ra1ny ahead of Stage 2 Titan adds an experienced coach to its coaching booth and adds a familiar face in ra1ny.,2026-06-28T00:00:00,2026-06-28T00:00:00,2026-09-11T00:00:00,roster_join,adds,0.0,0.0,0.08,0.85
56afd408807dda3af76a,https://www.vlr.gg/707251/dragon-ranger-gaming-adds-verse,Dragon Ranger Gaming adds Verse,Dragon Ranger Gaming adds Verse The Chinese squad adds another to expand its roster size to seven ahead of Stage 2.,2026-06-28T00:00:00,2026-06-28T00:00:00,2026-09-11T00:00:00,roster_join,adds,0.0,0.0,0.08,0.85
7b2b990e1bed2290fcc6,https://www.vlr.gg/707257/wolves-bring-back-aluba-as-part-of-midseason-overhaul,Wolves bring back aluba as part of midseason overhaul,Wolves bring back aluba as part of midseason overhaul Wolves' roster mania continues with the return of aluba as its IGL.,2026-06-28T00:00:00,2026-06-28T00:00:00,2026-07-26T00:00:00,return,back,0.02,0.25,-0.1,0.8
08b228c6a2449fb64de2,https://www.vlr.gg/706781/siufatbb-leaves-the-wolfpack-lands-with-tyloo,"SiuFatBB leaves the wolfpack, lands with TYLOO","SiuFatBB leaves the wolfpack, lands with TYLOO The star of the Wolves show joins TYLOO.",2026-06-27T00:00:00,2026-06-27T00:00:00,2026-12-24T00:00:00,roster_exit,leaves,0.0,-0.85,0.28,0.95
